Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Latitude,Longitude,Airport.Code,Airport.Name,Injury.Severity,Aircraft.damage,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Publication.Date,Total_On_Board,Total_Fatal_Serious,Injury_Fraction,Destroyed,make_model
20001214X42095,Accident,SEA83LA036,1983-01-01,"NEWPORT, OR",United States,,,ONP,NEWPORT MUNICIPAL,Non-Fatal,Substantial,N1296M,Cessna,182P,No,1,Piston,Personal,0.0,0.0,1.0,3.0,VMC,Approach,Probable Cause,,4.0,0.0,0.0,False,Cessna 182P
20001214X42067,Accident,MKC83LA056,1983-01-01,"WOODBINE, IA",United States,,,3YR,MUNICIPAL,Non-Fatal,Substantial,N2639C,Cessna,182RG,No,1,Piston,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,,2.0,0.0,0.0,False,Cessna 182RG
20001214X42063,Accident,MKC83LA050,1983-01-01,"MARYVILLE, MO",United States,,,78Y,RANKIN,Non-Fatal,Substantial,N58664,Cessna,182P,No,1,Piston,Personal,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,,1.0,0.0,0.0,False,Cessna 182P
20001214X42018,Accident,LAX83FUG11,1983-01-01,"UPLAND, CA",United States,,,CCB,CABLE,Non-Fatal,Substantial,N3084R,Piper,PA-28R-200,No,1,Piston,Personal,0.0,0.0,2.0,0.0,VMC,Approach,Probable Cause,,2.0,0.0,0.0,False,Piper PA-28R-200
20001214X41951,Accident,CHI83LA074,1983-01-01,"SPRINGBROOK, WI",United States,,,,SPRINGBROOK,Non-Fatal,Substantial,N89399,Cessna,140,No,1,Piston,Instructional,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,,2.0,0.0,0.0,False,Cessna 140
20001214X42010,Accident,LAX83FA064,1983-01-02,"MONTEREY, CA",United States,,,,,Non-Fatal,Destroyed,N1947E,Cessna,340A,No,2,Piston,Personal,0.0,0.0,4.0,0.0,VMC,Takeoff,Probable Cause,,4.0,0.0,0.0,True,Cessna 340A
20001214X41937,Accident,CHI83FA069,1983-01-02,"GENOA CITY, WI",United States,,,64C,VINCENT,Fatal(2),Destroyed,N3168G,North American,T-6G,No,1,Piston,Personal,2.0,0.0,0.0,0.0,VMC,Maneuvering,Probable Cause,,2.0,2.0,1.0,True,North American T-6G
20001214X41919,Accident,ATL83FA081,1983-01-02,"BEAUFORT, SC",United States,,,,,Fatal(3),Destroyed,N8066P,Piper,PA-24-250,No,1,Piston,Personal,3.0,0.0,0.0,0.0,IMC,Cruise,Probable Cause,,3.0,3.0,1.0,True,Piper PA-24-250
20001214X41994,Accident,FTW83LA073,1983-01-02,"BIG SPRING, TX",United States,,,21XS,BIG SPRING MUNICIPAL,Non-Fatal,Substantial,N9435Q,Beech,V-35B,No,1,Piston,Personal,0.0,0.0,0.0,3.0,VMC,Takeoff,Probable Cause,,3.0,0.0,0.0,False,Beech V-35B
20001214X41976,Accident,DEN83LA047,1983-01-02,"VERNAL, UT",United States,,,VEL,VERNAL MUNI.,Non-Fatal,Substantial,N6732B,Beech,A36,No,1,Piston,Business,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,,2.0,0.0,0.0,False,Beech A36
20001214X41950,Accident,CHI83LA073,1983-01-02,"MONEE, IL",United States,,,C56,SANGER,Non-Fatal,Substantial,N9699B,Cessna,180,No,1,Piston,Personal,0.0,0.0,0.0,4.0,VMC,Landing,Probable Cause,,4.0,0.0,0.0,False,Cessna 180
20001214X41948,Accident,CHI83LA071,1983-01-02,"PLATO CENTER, IL",United States,,,LL53,OLSON,Non-Fatal,Substantial,N4292V,Cessna,170,No,1,Piston,Personal,0.0,0.0,2.0,0.0,VMC,Landing,Probable Cause,,2.0,0.0,0.0,False,Cessna 170
20001214X41947,Accident,CHI83LA070,1983-01-02,"GREENBURG, IN",United States,,,,,Non-Fatal,Substantial,N7230G,Cessna,172,No,1,Piston,Personal,0.0,0.0,0.0,3.0,VMC,Cruise,Probable Cause,,3.0,0.0,0.0,False,Cessna 172
20001214X41927,Accident,ATL83LA080,1983-01-02,"LAUREL, MS",United States,,,PIB,PINE BELT REGIONAL,Non-Fatal,Substantial,N5291M,Swearingen,SA-226TC,No,2,Turboprop,Personal,0.0,0.0,0.0,20.0,IMC,Cruise,Probable Cause,,20.0,0.0,0.0,False,Swearingen SA-226TC
20001214X41924,Accident,ATL83FIG03,1983-01-02,"HANCOCK, MD",United States,,,W35,POTOMAC AIRPARK,Fatal(1),Substantial,N8515U,Cessna,172F,No,1,Piston,Personal,1.0,1.0,2.0,0.0,VMC,Maneuvering,Probable Cause,,4.0,2.0,0.5,False,Cessna 172F
20001214X42087,Accident,SEA83FA038,1983-01-03,"WILLARD, WA",United States,,,,,Fatal(5),Destroyed,N6087C,Cessna,T303,No,2,Piston,Business,5.0,0.0,0.0,0.0,IMC,Climb,Probable Cause,,5.0,5.0,1.0,True,Cessna T303
20001214X42017,Accident,LAX83FUA02,1983-01-03,"AVALON, CA",United States,,,AVX,CATALINA,Fatal(2),Destroyed,N2239M,Piper,PA-28-161,No,1,Piston,Personal,2.0,2.0,0.0,0.0,VMC,Go-around,Probable Cause,,4.0,4.0,1.0,True,Piper PA-28-161
20001214X42023,Accident,LAX83FXQ02,1983-01-03,"MAMMOTH LAKES, CA",United States,,,MMF,MAMMOTH,Non-Fatal,Substantial,N1931T,Piper,PA-28-235,No,1,Piston,Personal,0.0,0.0,0.0,1.0,VMC,Climb,Probable Cause,,1.0,0.0,0.0,False,Piper PA-28-235
20001214X42011,Accident,LAX83FA066,1983-01-03,"VAN NUYS, CA",United States,,,VNY,VAN NUYS,Non-Fatal,Substantial,N49750,Cessna,152,No,1,Piston,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,,1.0,0.0,0.0,False,Cessna 152
20001214X41949,Accident,CHI83LA072,1983-01-03,"DETROIT, MI",United States,,,DET,DETROIT CITY,Non-Fatal,Substantial,N25920,Piper,PA-38-112,No,1,Piston,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,,1.0,0.0,0.0,False,Piper PA-38-112
20001214X41995,Accident,FTW83LA075,1983-01-03,"ORLA, TX",United States,,,,,Non-Fatal,Substantial,N5289Y,Cessna,T210N,No,1,Piston,Unknown,0.0,1.0,0.0,0.0,VMC,Cruise,Probable Cause,,1.0,1.0,1.0,False,Cessna T210N
20001214X42086,Accident,SEA83FA037,1983-01-05,"PORTLAND, OR",United States,,,TTD,PORTLAND-TROUTDALE,Fatal(1),Destroyed,N5370Y,Cessna,T210N,No,1,Piston,Unknown,1.0,0.0,0.0,0.0,IMC,Descent,Probable Cause,,1.0,1.0,1.0,True,Cessna T210N
20001214X42080,Accident,NYC83LA048,1983-01-05,"GRANVILLE, PA",United States,,,,,Non-Fatal,Destroyed,N29947,North American,AT-6D,No,1,Piston,Personal,0.0,0.0,1.0,0.0,VMC,Cruise,Probable Cause,,1.0,0.0,0.0,True,North American AT-6D
20001214X42071,Accident,NYC83FA049,1983-01-05,"ATLANTIC CITY, NJ",United States,,,ACY,ATLANTIC CITY,Fatal(2),Destroyed,N7619Y,Piper,PA-30,No,2,Piston,Personal,2.0,0.0,0.0,0.0,IMC,Cruise,Probable Cause,,2.0,2.0,1.0,True,Piper PA-30
20001214X41969,Accident,DEN83FA044,1983-01-05,"ALMY, WY",United States,,,EVW,EVANSTON MUNI,Fatal(1),Destroyed,N6893L,Piper,AEROSTAR 602P,No,2,Piston,Business,1.0,0.0,0.0,0.0,VMC,Approach,Probable Cause,,1.0,1.0,1.0,True,Piper AEROSTAR 602P
20001214X41939,Accident,CHI83FA076,1983-01-05,"HANOVER PARK, IL",United States,,,063,SCHAUMBURG,Fatal(3),Destroyed,N9621Q,Cessna,172M,No,1,Piston,Personal,3.0,0.0,0.0,0.0,IMC,Takeoff,Probable Cause,,3.0,3.0,1.0,True,Cessna 172M
20001214X41920,Accident,ATL83FA083,1983-01-05,"PEACHTREE CITY, GA",United States,,,2A9,FALCON,Non-Fatal,Destroyed,N9234S,Beech,C23,No,1,Piston,Personal,0.0,4.0,0.0,0.0,VMC,Takeoff,Probable Cause,,4.0,4.0,1.0,True,Beech C23
20001214X42079,Accident,NYC83LA047,1983-01-05,"CENTRE HALL, PA",United States,,,N16,CENTRE,Non-Fatal,Substantial,N4911G,Cessna,172N,No,1,Piston,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,,1.0,0.0,0.0,False,Cessna 172N
20001214X41928,Accident,ATL83LA082,1983-01-05,"HORSE CAVE, KY",United States,,,,,Non-Fatal,Substantial,N1741X,Cessna,T210L,Yes,1,Piston,Personal,0.0,0.0,0.0,2.0,VMC,Cruise,Probable Cause,,2.0,0.0,0.0,False,Cessna T210L
20001214X42044,Accident,MIA83FA057,1983-01-06,"LA BELLE, FL",United States,,,,,Fatal(2),Destroyed,N89225,Cessna,152,No,1,Piston,Personal,2.0,0.0,0.0,0.0,IMC,Maneuvering,Probable Cause,,2.0,2.0,1.0,True,Cessna 152
20001214X41996,Accident,FTW83LA077,1983-01-06,"SAN ANGELO, TX",United States,,,SJT,SAN ANGELO,Non-Fatal,Destroyed,N5276U,Cessna,172RG,No,1,Piston,Aerial Observation,0.0,0.0,0.0,1.0,VMC,,Probable Cause,,1.0,0.0,0.0,True,Cessna 172RG
20001214X42026,Accident,LAX83LA068,1983-01-06,"BAKERSFIELD, CA",United States,,,L45,BAKERSFIELD,Non-Fatal,Substantial,N38916,Piper,PA-28-161,No,1,Piston,Business,0.0,0.0,0.0,1.0,IMC,Approach,Probable Cause,,1.0,0.0,0.0,False,Piper PA-28-161
